                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.97033,                 1.2221,                 1.2609,                0.74167,                0.62235,                0.69675,                0.59079,                0.71008,                 1.0813,                 1.1214,             0.00014947,             0.00014947,             0.00014947
                     36,                0.96507,                 1.1957,                 1.2599,                0.65366,                0.66115,                0.69241,                0.57469,                 0.7565,                 1.0677,                 1.1312,             0.00014727,             0.00014727,             0.00014727
                     37,                0.98292,                 1.2122,                 1.2699,                 0.7712,                0.62821,                0.70559,                0.59968,                0.70129,                 1.0512,                 1.1164,             0.00014508,             0.00014508,             0.00014508
                     38,                0.97879,                 1.1669,                 1.2631,                0.67176,                0.62735,                0.68963,                0.57608,                0.72211,                 1.0877,                 1.1206,             0.00014288,             0.00014288,             0.00014288
                     39,                0.97164,                 1.1807,                 1.2576,                0.62804,                0.65006,                0.68549,                0.58025,                0.71063,                0.99348,                 1.1214,             0.00014068,             0.00014068,             0.00014068
                     40,                0.96411,                 1.1579,                 1.2576,                0.67724,                0.63464,                0.68637,                0.57553,                0.71804,                 1.0238,                  1.126,             0.00013848,             0.00013848,             0.00013848
                     41,                0.96004,                 1.1597,                 1.2513,                0.63389,                0.67741,                0.67739,                0.57438,                0.71055,                 1.0041,                 1.1153,             0.00013629,             0.00013629,             0.00013629
                     42,                0.96644,                 1.1402,                 1.2578,                0.66636,                0.64305,                0.69203,                0.58211,                0.70242,                  1.011,                 1.1102,             0.00013409,             0.00013409,             0.00013409
                     43,                0.95776,                 1.1228,                 1.2448,                0.71489,                0.63435,                0.69391,                0.57894,                0.71409,                 1.0054,                 1.1104,             0.00013189,             0.00013189,             0.00013189
                     44,                0.95939,                 1.1418,                 1.2603,                0.76636,                0.60823,                0.70129,                0.59433,                0.71296,                 1.0315,                 1.1125,             0.00012969,             0.00012969,             0.00012969
                     45,                 0.9611,                 1.1189,                 1.2447,                0.65267,                0.70482,                0.70875,                0.60282,                0.69268,                0.97199,                 1.1153,             0.00012749,             0.00012749,             0.00012749
                     46,                0.94738,                 1.0978,                 1.2412,                0.55669,                0.70511,                0.69967,                0.58936,                0.70724,                 1.0368,                 1.1124,              0.0001253,              0.0001253,              0.0001253
                     47,                0.95483,                 1.0998,                 1.2472,                0.67892,                0.66764,                0.70091,                0.59384,                0.69506,                 1.0213,                 1.1065,              0.0001231,              0.0001231,              0.0001231
                     48,                0.94947,                 1.1006,                 1.2524,                 0.6526,                 0.6423,                0.70648,                0.59312,                0.72166,                 1.0134,                 1.1154,              0.0001209,              0.0001209,              0.0001209
                     49,                0.94085,                 1.0886,                 1.2366,                0.69901,                0.65022,                0.70515,                0.59717,                0.68701,                 1.0035,                 1.1026,              0.0001187,              0.0001187,              0.0001187
                     50,                0.92688,                 1.0715,                 1.2317,                0.72087,                0.63512,                0.70019,                 0.5906,                0.69484,                0.98174,                 1.1047,             0.00011651,             0.00011651,             0.00011651
                     51,                0.93374,                 1.0598,                 1.2375,                0.68348,                0.64372,                0.71037,                0.59762,                0.70393,                0.99648,                 1.1192,             0.00011431,             0.00011431,             0.00011431
                     52,                0.94394,                 1.0602,                 1.2442,                0.74792,                0.63486,                0.72346,                0.61107,                0.69543,                0.94649,                 1.1051,             0.00011211,             0.00011211,             0.00011211
                     53,                0.93269,                 1.0564,                 1.2365,                0.74807,                0.63911,                0.71578,                0.60346,                0.69953,                0.96575,                 1.1042,             0.00010991,             0.00010991,             0.00010991
                     54,                0.92823,                 1.0581,                 1.2274,                0.67437,                0.69806,                 0.7056,                0.59576,                0.71025,                0.93477,                 1.1226,             0.00010771,             0.00010771,             0.00010771
                     55,                0.91851,                 1.0537,                  1.222,                0.70701,                0.63464,                0.70953,                0.60365,                0.68672,                0.93954,                 1.1037,             0.00010552,             0.00010552,             0.00010552
                     56,                 0.9187,                 1.0412,                 1.2268,                0.73602,                0.64192,                 0.7187,                0.60702,                0.70198,                0.97114,                 1.1044,             0.00010332,             0.00010332,             0.00010332
                     57,                0.92416,                 1.0208,                  1.227,                0.79505,                 0.6115,                0.71414,                0.60856,                 0.6928,                0.93615,                 1.1009,             0.00010112,             0.00010112,             0.00010112
                     58,                0.91085,                 1.0158,                  1.225,                0.74109,                0.65914,                0.70317,                0.60223,                0.69788,                0.94061,                 1.1044,             9.8923e-05,             9.8923e-05,             9.8923e-05
                     59,                0.92071,                 1.0174,                 1.2326,                0.73033,                0.66748,                0.73477,                0.62563,                0.68868,                0.92677,                 1.1021,             9.6725e-05,             9.6725e-05,             9.6725e-05
                     60,                0.92413,                  1.034,                 1.2312,                0.77114,                0.63281,                0.72025,                0.61414,                0.69703,                0.93776,                 1.1062,             9.4528e-05,             9.4528e-05,             9.4528e-05
                     61,                0.91831,                0.99872,                 1.2198,                0.67304,                0.68686,                0.73537,                0.62698,                0.69295,                0.93647,                 1.1062,              9.233e-05,              9.233e-05,              9.233e-05
                     62,                0.91023,                 1.0031,                 1.2138,                 0.7099,                0.63826,                0.71307,                0.61457,                 0.6892,                0.94446,                 1.0992,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     63,                0.90028,                0.99039,                 1.2186,                0.76102,                0.62301,                0.70203,                0.60475,                0.67942,                0.95408,                 1.0977,             8.7934e-05,             8.7934e-05,             8.7934e-05
                     64,                0.90173,                0.98614,                 1.2185,                 0.6936,                0.64101,                0.71427,                0.61127,                0.69242,                0.98445,                    1.1,             8.5736e-05,             8.5736e-05,             8.5736e-05
                     65,                0.89821,                0.97341,                 1.2167,                0.76359,                0.61944,                0.71963,                0.60836,                0.68424,                0.92712,                 1.0945,             8.3539e-05,             8.3539e-05,             8.3539e-05
                     66,                0.91613,                0.99245,                 1.2213,                0.78488,                0.62097,                0.71899,                0.61519,                 0.6923,                0.92295,                 1.1001,             8.1341e-05,             8.1341e-05,             8.1341e-05
                     67,                0.89596,                0.97164,                  1.211,                 0.6833,                0.67417,                0.71832,                0.61286,                0.67639,                0.90977,                 1.0933,             7.9143e-05,             7.9143e-05,             7.9143e-05
                     68,                0.90216,                0.99397,                 1.2187,                0.71421,                0.68676,                0.72363,                0.61172,                0.69042,                0.92728,                 1.1092,             7.6945e-05,             7.6945e-05,             7.6945e-05
                     69,                0.88684,                0.96184,                 1.2012,                0.72817,                0.65847,                0.72033,                0.61409,                0.68135,                0.91408,                  1.096,             7.4747e-05,             7.4747e-05,             7.4747e-05
                     70,                0.89243,                0.97435,                 1.2085,                0.68883,                0.67085,                0.72012,                0.62021,                 0.6674,                0.89467,                 1.0941,              7.255e-05,              7.255e-05,              7.255e-05
                     71,                0.88827,                0.95597,                 1.2131,                0.70572,                0.67796,                0.72417,                0.61061,                  0.689,                0.93315,                 1.1018,             7.0352e-05,             7.0352e-05,             7.0352e-05
                     72,                0.88694,                0.95738,                 1.2028,                0.73671,                0.64339,                0.71445,                0.60462,                0.68186,                 0.8962,                 1.1018,             6.8154e-05,             6.8154e-05,             6.8154e-05
                     73,                0.88229,                0.93614,                 1.1953,                0.70772,                0.65875,                0.71907,                0.61701,                0.66898,                0.89098,                 1.0998,             6.5956e-05,             6.5956e-05,             6.5956e-05
                     74,                 0.8919,                0.95584,                 1.2062,                0.77341,                0.61942,                0.71554,                0.61322,                0.67185,                0.91725,                  1.097,             6.3758e-05,             6.3758e-05,             6.3758e-05
